uid,Main Heading,Sub-Heading,Sub-Sub-Heading,Comments,Drug Name,Urinary Excretion (%),Half-Life (hr),Protein Binding (%),Volume of Distribution (L/kg),Clearance (L/hr),Clearance Slope (do not display),Clearance Intercept (do not display),Dose of Normal Renal Function,2nd Dose ,Adjustment (Dose/Interval),Stage 1 (>89),Stage 2 (60-89),Stage 3 (30-59),Stage 4 (15-29),Stage 5 (<15),Intermitent HD,Peritoneal Dialysis,Continous Renal Replacement,References,Toxicity
437,Miscellaneous Agents,Neuromuscular Agents,,,Fentanyl,6-8,2.5-3.5/Unchanged,79-87,2-5,,,,0.002-0.05 mg/kg,,D,0.002-0.05 mg/kg,100% [D],100% [D],100% [D],100% [D],"IHD: None, [D]","PD: None, [D] ","CRRT: Dose for GFR 10-50, tirate, [B]","Joh J, Sila MK, Bastani B. Nondialyzability of fentanyl with high-efficiency and high-flux membranes [Letter]. Anesth Analg. 1998; 86: 447. [PMID: 9459269] / Mather LE. Clinical pharmacokinetics of fentanyl and its newer derivatives. Clin Pharmacokinet. 1983; 8: 422-46. [PMID: 6226471]",
438,Miscellaneous Agents,Neuromuscular Agents,,,Gallamine,85-100,2.3-2.7/6-20,30-70,0.21-0.24,,,,0.5-1.5 mg/kg,,D,0.5-1.5 mg/kg,75% [D],Avoid [D],Avoid [D],Avoid [D],"IHD: Not applicable, [D]","PD: Not applicable, [D]",CRRT: Avoid,"Ramzan MI, Shanks CA, Triggs EJ. Gallamine disposition in surgical patients with chronic renal failure. Br J Clin Pharmacol. 1981; 12: 141-7. [PMID: 7306428]","Recurarization may occur up to 24 hours after dose. If blockade not responsive to neostigmine (q.v.), dialysis may be useful."
439,Miscellaneous Agents,Neuromuscular Agents,,,Ketamine,2-3,2.0-3.5/Unchanged,No data,1.8-3.1,,,,1.0-4.5 mg/kg,,D,1.0-4.5 mg/kg,100% [D],100% [D],100% [D],100% [D],"IHD: Not applicable, [D]","PD: Not applicable, [D]","CRRT: Dose for GFR 10-50, tirate, [B]","Tsubo T, Sakai I, Okawa H, Ishihara H, Matsuki A. Ketamine and midazolam kinetics during continuous hemodiafiltration in patients with multiple organ dysfunction syndrome. Intensive Care Med. 2001; 27: 1087-90. [PMID: 11497143]",
440,Miscellaneous Agents,Neuromuscular Agents,,,Metocurine,45-60,3.5-5.8/11.3,70,0.42-0.57,,,,0.2-0.4 mg/kg,,D,0.2-0.4 mg/kg,75% [D],50% [D],50% [D],50% [D],"IHD: Not applicable, [D]","PD: Not applicable, [D]","CRRT: Dose for GFR 10-50, [D]",,
441,Miscellaneous Agents,Neuromuscular Agents,,,Mivacurium,No data,1.5-3.0,No data,0.1,,,,4-10 &#181;g/kg/min,,D,4-10 &#181;g/kg/min,100% [B],50% [B],50% [B],50% [B],"IHD: None, [D]","PD: Dose for GFR <10, [B]","CRRT: Dose for GFR 10-50, [D]","Phillips BJ, Hunter JM. Use of mivacurium chloride by constant infusion in the anephric patient. Br J Anaesth. 1992; 68: 492-8. [PMID: 1642938]",
442,Miscellaneous Agents,Neuromuscular Agents,,,Neostigmine,67,1.3/3.0,None,0.5-1.0,,,,15-375 mg q24h,,D,15-375 mg q24h,100% [D],50% [D],50% [D],25% [D],"IHD: None, [D]","PD: None, [D] ","CRRT: Dose for GFR 10-50, [D]","Cronnelly R, Stanski DR, Miller RD, Sheiner LB, Sohn YJ. Renal function and the pharmacokinetics of neostigmine in anesthetized man. Anesthesiology. 1979; 51: 222-6. [PMID: 382915]",
443,Miscellaneous Agents,Neuromuscular Agents,,,Pancuronium,30-40,1.7-2.2/4.3-8.2,70-85,0.15-0.38,,,,0.04-0.1 mg/kg,,D,0.04-0.1 mg/kg,100% [A],50% [B],50% [B],Avoid [B],"IHD: Avoid, [D]","PD: Avoid, [D] ","CRRT: Dose for GFR 10-50, tirate, [D]","McLeod K, Watson MJ, Rawlins MD. Pharmacokinetics of pancuronium in patients with normal and impaired renal function. Br J Anaesth. 1976; 48: 341-5. [PMID: 1276000]",Recurarization may occur up to 24 hours after dose.
444,Miscellaneous Agents,Neuromuscular Agents,,,Pipecuronium,38,2.3/4.4,No data,0.31,,,,100 &#181;g/kg,,D,100 &#181;g/kg,100% [A],50% [A],50% [A],25% [A],"IHD: None, [D]","PD: None, [D] ","CRRT: Dose for GFR 10-50, tirate, [D]","Caldwell JE, Canfell PC, Castagnoli KP, Lynam DP, Fahey MR, Fisher DM, et al. The influence of renal failure on the pharmacokinetics and duration of action of pipecuronium bromide in patients anesthetized with halothane and nitrous oxide. Anesthesiology. 1989; 70: 7-12. [PMID: 2536254]",
445,Miscellaneous Agents,Neuromuscular Agents,,,Propofol,<0.3,1.5/16.8,96-99,8-19,,,,2.0-2.5 mg/kg,,D,2.0-2.5 mg/kg,100% [B],100% [B],100% [B],100% [B],"IHD: None, [D]","PD: None, [D] ","CRRT: Dose for GFR 10-50, tirate, [B]","Nathan N, Debord J, Narcisse F, Dupuis JL, Lagarde M, Benevent D, et al. Pharmacokinetics of propofol and its conjugates after continuous infusion in normal and in renal failure patients: a preliminary study. Acta Anaesthesiol Belg. 1993; 44: 77-85. [PMID: 8310787]",Green urine.
446,Miscellaneous Agents,Neuromuscular Agents,,,Pyridostigmine,80-90,1.5-2.0/6,No data,0.8-1.4,,,,60-1500 mg q24h,,D,60-1500 mg q24h,50% [B],30% [B],25% [B],20% [B],"IHD: None, [D]","PD: None, [D] ","CRRT: Dose for GFR 10-50, [D]","Cronnelly R, Stanski DR, Miller RD, Sheiner LB. Pyridostigmine kinetics with and without renal function. Clin Pharmacol Ther. 1980; 28: 78-81. [PMID: 6993086]",Renal excretion decreased by basic drugs.
447,Miscellaneous Agents,Neuromuscular Agents,,,Succinylcholine,None,3/No data,No data,No data,,,,"0.3-1.1 mg/kg load, then 0.04-0.07 mg/kg prn",,D,"0.3-1.1 mg/kg load, then 0.04-0.07 mg/kg prn",100% [A],100% [A],100% [A],100% [A],"IHD: Not applicable, [D]","PD: Dose for GFR <10, [D]","CRRT: Dose for GFR 10-50, [D]","Bishop MJ, Hornbein TF. Prolonged effect of succinylcholine after neostigmine and pyridostigmine administration in patients with renal failure. Anesthesiology. 1983; 58: 384-6. [PMID: 6340560]",Hyperkalemia in ESRD.
448,Miscellaneous Agents,Neuromuscular Agents,,,Sufentanil,1-2,1-2/Unchanged,92,1.7-5.2,,,,Anesthetic induction or 1-30 &#181;g/kg ,,D,Anesthetic induction or 1-30 &#181;g/kg ,100% [D],100% [D],100% [D],100% [D],IHD: No data,PD: No data,"CRRT: Dose for GFR 10-50, [D]","Monk JP, Beresford R, Ward A. Sufentanil. A review of its pharmacological properties and therapeutic use. Drugs. 1988; 36: 286-313. [PMID: 2903821]",
449,Miscellaneous Agents,Neuromuscular Agents,,,Tubocurarine,40-60,0.5-4/5.5,30-50,0.22-0.39,,,,0.1-0.2 mg/kg,,D,0.1-0.2 mg/kg,75% [A],50% [A],50% [A],Avoid [A],"IHD: Not applicable, [D]","PD: Not applicable, [D]","CRRT: Dose for GFR 10-50, [D]","Miller RD, Matteo RS, Benet LZ, Sohn YJ. The pharmacokinetics of d-tubocurarine in man with and without renal failure. J Pharmacol Exp Ther. 1977; 202: 1-7. [PMID: 195035]",Large or repetitive doses may result in prolonged effect. Recurarization may occur.
450,Miscellaneous Agents,Neuromuscular Agents,,,Vecuronium,25,0.5-1.3/Unchanged,30,0.18-0.27,,,,"0.08-0.1 mg/kg load, then 0.01-0.05 mg/kg q12-15min",,D,"0.08-0.1 mg/kg load, then 0.01-0.05 mg/kg q12-15min",100% [A],100% [A],100% [A],100% [A],"IHD: Not applicable, [D]","PD: Not applicable, [D]","CRRT: Dose for GFR 10-50, [D]","Miller RD. Vecuronium: a new nondepolarizing neuromuscular-blocking agent. Clinical pharmacology, pharmacokinetics, cardiovascular effects and use in special clinical situations. Pharmacotherapy. 1984; 4: 238-47. [PMID: 6150465] / Shanks CA, Avram MJ, Fragen RJ, O&#146; Hara DA. Pharmacokinetics and pharmacodynamics of vecuronium administered by bolus and infusion during halothane or balanced anesthesia. Clin Pharmacol Ther. 1987; 42: 459-64. [PMID: 2889555]",
451,Miscellaneous Agents,Proton-Pump Inhibitors,,,Lansoprazole,None,1.3-2.9/Unchanged,>98,No data,,,,15-60 mg q24h,,D,15-60 mg q24h,100% [A],100% [A],100% [A],100% [A],"IHD: None, [D]","PD: None, [D] ","CRRT: Dose for GFR 10-50, [D]","Karol MD, Machinist JM, Cavanaugh JM. Lansoprazole pharmacokinetics in subjects with various degrees of kidney function. Clin Pharmacol Ther. 1997; 61: 450-8. [PMID: 9129562] / Spencer CM, Faulds D. Lansoprazole. A reappraisal of its pharmacodynamic and pharmacokinetic properties, and its therapeutic efficacy in acid-related disorders. Drugs. 1994; 48: 404-30. [PMID: 7527761]",
452,Miscellaneous Agents,Proton-Pump Inhibitors,,,Omeprazole,Negligible,0.5-1/Unchanged,95,No data,,,,20-60 mg q24h,,D,20-60 mg q24h,100% [A],100% [A],100% [A],100% [A],"IHD: None, [B] ","PD: None, [B] ","CRRT: Dose for GFR 10-50, [D]","Naesdal J, Andersson T, Bodemar G, Larsson R, Reg&#229; rdh CG, Sk&#229; nberg I, et al. Pharmacokinetics of [14C]omeprazole in patients with impaired renal function. Clin Pharmacol Ther. 1986; 40: 344-51. [PMID: 3742939]",
453,"Sedatives, Hypnotics, and Other Drugs Used in Psychiatry",Antidepressants,,,Bupropion,Hepatic,10-21/No data,82-88,27-36,,,,100 mg q8h,,D,100 mg q8h,100% [D],100% [D],100% [D],100% [D],"IHD: No data, [D]","PD: Dose for GFR <10, [D]","CRRT: Dose for GFR 10-50, [D]","DeVane CL. Pharmacokinetics of the selective serotonin reuptake inhibitors. J Clin Psychiatry. 1992; 53 Suppl: 13-20. [PMID: 1531816] / DeVane CL. Pharmacokinetics of the newer antidepressants: clinical relevance. Am J Med. 1994; 97: 13S-23S. [PMID: 7992822] / Goodnick PJ. Pharmacokinetics of second generation antidepressants: bupropion. Psychopharmacol Bull. 1991; 27: 513-9. [PMID: 1813898] / Laizure SC, DeVane CL, Stewart JT, Dommisse CS, Lai AA. Pharmacokinetics of bupropion and its major basic metabolites in normal subjects after a single dose. Clin Pharmacol Ther. 1985; 38: 586-9. [PMID: 3931955] / Posner J, Bye A, Dean K, Peck AW, Whiteman PD. The disposition of bupropion and its metabolites in healthy male volunteers after single and multiple doses. Eur J Clin Pharmacol. 1985; 29: 97-103. [PMID: 3932079] / Preskorn SH. Comparison of the tolerability of bupropion, fluoxetine, imipramine, nefazodone, paroxetine, sertraline, and venlafaxine. J Clin Psychiatry. 1995; 56 Suppl 6: 12-21. [PMID: 7649968] / Suckow RF, Smith TM, Perumal AS, Cooper TB. Pharmacokinetics of bupropion and metabolites in plasma and brain of rats, mice, and guinea pigs. Drug Metab Dispos. 1986; 14: 692-7. [PMID: 2877828] / Welch RM, Lai AA, Schroeder DH. Pharmacological significance of the species differences in bupropion metabolism. Xenobiotica. 1987; 17: 287-98. [PMID: 3107223]",
454,"Sedatives, Hypnotics, and Other Drugs Used in Psychiatry",Antidepressants,,,Nefazodone,Hepatic,2-4/Unchanged,99,0.22-0.87,,,,100-600 mg q24h,,D,100-600 mg q24h,100% [B],100% [B],100% [B],100% [B],"IHD: None, [D]","PD: None, [D] ","CRRT: Dose for GFR 10-50, [D]","DeVane CL. Pharmacokinetics of the newer antidepressants: clinical relevance. Am J Med. 1994; 97: 13S-23S. [PMID: 7992822] / Ellingrod VL, Perry PJ. Nefazodone: a new antidepressant. Am J Health Syst Pharm. 1995; 52: 2799-812. [PMID: 8748566] / Goldberg RJ. Nefazodone and venlafaxine: two new agents for the treatment of depression. J Fam Pract. 1995; 41: 591-4. [PMID: 7500069] / Preskorn SH. Comparison of the tolerability of bupropion, fluoxetine, imipramine, nefazodone, paroxetine, sertraline, and venlafaxine. J Clin Psychiatry. 1995; 56 Suppl 6: 12-21. [PMID: 7649968]",
455,"Sedatives, Hypnotics, and Other Drugs Used in Psychiatry",Antidepressants,,,Trazodone,10-20(renal),6-11/No data,89-95,1-2,,,,150-400 mg q24h,,D,150-400 mg q24h,100% [A],100% [A],100% [A],100% [B],"IHD: None, [D]","PD: None, [D] ","CRRT: 100%, [D]","Browne TR. The pharmacokinetics of agents used to treat status epilepticus. Neurology. 1990; 40: 28-32. [PMID: 2185438] / DeVane CL. Pharmacokinetics of the newer antidepressants: clinical relevance. Am J Med. 1994; 97: 13S-23S. [PMID: 7992822] / Preskorn SH. Comparison of the tolerability of bupropion, fluoxetine, imipramine, nefazodone, paroxetine, sertraline, and venlafaxine. J Clin Psychiatry. 1995; 56 Suppl 6: 12-21. [PMID: 7649968]",
456,"Sedatives, Hypnotics, and Other Drugs Used in Psychiatry",Antidepressants,,,Venlafaxine,Hepatic,4/6-8,27,6-7,,,,75-375 mg q24h,,D,75-375 mg q24h,75% [B],50% [B],50% [B],50% [B],"IHD: None, [D]","PD: None, [D] ","CRRT: Dose for GFR 10-50, [D]","DeVane CL. Pharmacokinetics of the newer antidepressants: clinical relevance. Am J Med. 1994; 97: 13S-23S. [PMID: 7992822] / Ellingrod VL, Perry PJ. Venlafaxine: a heterocyclic antidepressant. Am J Hosp Pharm. 1994; 51: 3033-46. [PMID: 7856622] / Holliday SM, Benfield P. Venlafaxine. A review of its pharmacology and therapeutic potential in depression. Drugs. 1995; 49: 280-94. [PMID: 7729333] / Morton WA, Sonne SC, Verga MA. Venlafaxine: a structurally unique and novel antidepressant. Ann Pharmacother. 1995; 29: 387-95. [PMID: 7633018] / Preskorn SH. Comparison of the tolerability of bupropion, fluoxetine, imipramine, nefazodone, paroxetine, sertraline, and venlafaxine. J Clin Psychiatry. 1995; 56 Suppl 6: 12-21. [PMID: 7649968] / Scott MA, Shelton PS, Gattis W. Therapeutic options for treating major depression, and the role of venlafaxine. Pharmacotherapy. 1996; 16: 352-65. [PMID: 8726593]",
457,"Sedatives, Hypnotics, and Other Drugs Used in Psychiatry",Barbiturates,,May cause excessive sedation and increase osteomalacia in ESRD. Charcoal hemoperfusion and hemodialysis more effective than peritoneal dialysis. For poisoning.,Pentobarbital,Hepatic,18-48/Unchanged,60-70,1.0,,,,30 mg q6-8h,,D,30 mg q6-8h,100% [A],100% [A],100% [A],100% [A],"IHD: None, [B] ","PD: None, [B] ","CRRT: Dose for GFR 10-50, [B]","Bironneau E, Garrec F, Kergueris MF, Testa A, Nicolas F. Hemodiafiltration in pentobarbital poisoning. Ren Fail. 1996; 18: 299-303. [PMID: 8723368] / Browne TR. The pharmacokinetics of agents used to treat status epilepticus. Neurology. 1990; 40: 28-32. [PMID: 2185438] / Wermeling D, Record K, Bell R, Porter W, Blouin R. Hemodialysis clearance of pentobarbital during continuous infusion. Ther Drug Monit. 1985; 7: 485-7. [PMID: 4082247]",
458,"Sedatives, Hypnotics, and Other Drugs Used in Psychiatry",Barbiturates,,May cause excessive sedation and increase osteomalacia in ESRD. Charcoal hemoperfusion and hemodialysis more effective than peritoneal dialysis. For poisoning.,Secobarbital,Hepatic,20-35/No data,44,1.5-2.5,,,,30-50 mg q6-8h,,D,30-50 mg q6-8h,100% [A],100% [A],100% [A],100% [A],"IHD: None, [D]","PD: None, [D] ","CRRT: Dose for GFR 10-50, [D]",Browne TR. The pharmacokinetics of agents used to treat status epilepticus. Neurology. 1990; 40: 28-32. [PMID: 2185438],
459,"Sedatives, Hypnotics, and Other Drugs Used in Psychiatry",Barbiturates,,May cause excessive sedation and increase osteomalacia in ESRD. Charcoal hemoperfusion and hemodialysis more effective than peritoneal dialysis. For poisoning.,Thiopental,Hepatic,3.8/6-18,72-86,1.0-1.5,,,,Anesthesia induction (individualized),,D,Anesthesia induction (individualized),100% [A],100% [A],100% [A],75% [A],"IHD: Not applicable, [D]","PD: Not applicable, [D]","CRRT: Dose for GFR 10-50, [D]",Browne TR. The pharmacokinetics of agents used to treat status epilepticus. Neurology. 1990; 40: 28-32. [PMID: 2185438],
460,"Sedatives, Hypnotics, and Other Drugs Used in Psychiatry",Benzodiazepines,,May cause excessive sedation and encephalopathy in ESRD.,Alprazolam,Hepatic,9.5-19.0/Unchanged,70-80,0.9-1.3,,,,0.25-5.0 mg q8h,,D,0.25-5.0 mg q8h,100% [D],100% [D],100% [D],100% [D],"IHD: None, [D]","PD: No data, [D]","CRRT: Dose for GFR 10-50, [D]","DeVane CL, Ware MR, Lydiard RB. Pharmacokinetics, pharmacodynamics, and treatment issues of benzodiazepines: alprazolam, adinazolam, and clonazepam. Psychopharmacol Bull. 1991; 27: 463-73. [PMID: 1687613] / Greenblatt DJ. Benzodiazepine hypnotics: sorting the pharmacokinetic facts. J Clin Psychiatry. 1991; 52 Suppl: 4-10. [PMID: 1680125] / Greenblatt DJ. Pharmacokinetics and pharmacodynamics. Hosp Pract (Off Ed). 1990; 25 Suppl 2: 9-15; discussion 16-8. [PMID: 2114417] / Greenblatt DJ, Harmatz JS, Dorsey C, Shader RI. Comparative single-dose kinetics and dynamics of lorazepam, alprazolam, prazepam, and placebo. Clin Pharmacol Ther. 1988; 44: 326-34. [PMID: 3138056] / Laurijssens BE, Greenblatt DJ. Pharmacokinetic-pharmacodynamic relationships for benzodiazepines. Clin Pharmacokinet. 1996; 30: 52-76. [PMID: 8846627] / Norman TR, Burrows GD, McIntyre IM. Pharmacokinetic and pharmacodynamic effects of a single nocturnal dose of alprazolam. Int Clin Psychopharmacol. 1990; 5: 111-7. [PMID: 2199575] / Ochs HR, Greenblatt DJ, Labedzki L, Smith RB. Alprazolam kinetics in patients with renal insufficiency. J Clin Psychopharmacol. 1986; 6: 292-4. [PMID: 3771810] / Scavone JM, Greenblatt DJ, Shader RI. Alprazolam kinetics following sublingual and oral administration. J Clin Psychopharmacol. 1987; 7: 332-4. [PMID: 3680603] / Schmith VD, Piraino B, Smith RB, Kroboth PD. Alprazolam in end-stage renal disease: I. Pharmacokinetics. J Clin Pharmacol. 1991; 31: 571-9. [PMID: 1880224] / Smith RB, Kroboth PD. Influence of dosing regimen on alprazolam and metabolite serum concentrations and tolerance to sedative and psychomotor effects. Psychopharmacology (Berl). 1987; 93: 105-12. [PMID: 3114808] / Smith RB, Kroboth PD, Vanderlugt JT, Phillips JP, Juhl RP. Pharmacokinetics and pharmacodynamics of alprazolam after oral and IV administration. Psychopharmacology (Berl). 1984; 84: 452-6. [PMID: 6152055] / Talmud J, Straughan JL, Robins AH. Alprazolam&#151; a new triazolobenzodiazepine. S Afr Med J. 1984; 66: 297-8. [PMID: 6147900]",
461,"Sedatives, Hypnotics, and Other Drugs Used in Psychiatry",Benzodiazepines,,May cause excessive sedation and encephalopathy in ESRD.,Chlordiazepoxide,Hepatic,5-30/Unchanged,94-97,0.3-0.5,,,,15-100 mg q24h,,D,15-100 mg q24h,100% [D],100% [D],100% [D],50% [D],"IHD: None, [D]","PD: Dose for GFR <10, [D]","CRRT: Dose for GFR 10-50, [D]","Gaudreault P, Guay J, Thivierge RL, Verdy I. Benzodiazepine poisoning. Clinical and pharmacological considerations and treatment. Drug Saf. 1991; 6: 247-65. [PMID: 1888441] / Greenblatt DJ. Benzodiazepine hypnotics: sorting the pharmacokinetic facts. J Clin Psychiatry. 1991; 52 Suppl: 4-10. [PMID: 1680125] / Greenblatt DJ. Pharmacokinetics and pharmacodynamics. Hosp Pract (Off Ed). 1990; 25 Suppl 2: 9-15; discussion 16-8. [PMID: 2114417]",
462,"Sedatives, Hypnotics, and Other Drugs Used in Psychiatry",Benzodiazepines,,May cause excessive sedation and encephalopathy in ESRD.,Clorazepate,Hepatic (renal),39-85/36,No data,1.3,,,,15-60 mg q24h,,D,15-60 mg q24h,100% [D],100% [D],100% [D],100% [D],"IHD: None, [D]","PD: Dose for GFR <10, [D]","CRRT: Dose for GFR 10-50, [D]","Duguay R, Le Lorier J, Rochefort JG, Messier R, Vigui&#233; F, Adamkiewicz L. [Efficacy and kinetics of chlorazepate administered to anxious patients in a single daily dose]. Can J Psychiatry. 1985; 30: 414-7. [PMID: 2866026] / Gaudreault P, Guay J, Thivierge RL, Verdy I. Benzodiazepine poisoning. Clinical and pharmacological considerations and treatment. Drug Saf. 1991; 6: 247-65. [PMID: 1888441] / Greenblatt DJ. Benzodiazepine hypnotics: sorting the pharmacokinetic facts. J Clin Psychiatry. 1991; 52 Suppl: 4-10. [PMID: 1680125] / Greenblatt DJ. Pharmacokinetics and pharmacodynamics. Hosp Pract (Off Ed). 1990; 25 Suppl 2: 9-15; discussion 16-8. [PMID: 2114417]",
463,"Sedatives, Hypnotics, and Other Drugs Used in Psychiatry",Benzodiazepines,,May cause excessive sedation and encephalopathy in ESRD.,Diazepam,<1,30-56/37,98,0.8-1.4,,,,2-10 mg q6-24h,,D,2-10 mg q6-24h,100% (see notes) [A],100% (see notes) [A],100% (see notes) [A],100% (see notes) [A],"IHD: None, [D]","PD: None, [D] ","CRRT: Dose for GFR 10-50, [D]","Gaudreault P, Guay J, Thivierge RL, Verdy I. Benzodiazepine poisoning. Clinical and pharmacological considerations and treatment. Drug Saf. 1991; 6: 247-65. [PMID: 1888441] / Greenblatt DJ. Benzodiazepine hypnotics: sorting the pharmacokinetic facts. J Clin Psychiatry. 1991; 52 Suppl: 4-10. [PMID: 1680125] / Greenblatt DJ. Pharmacokinetics and pharmacodynamics. Hosp Pract (Off Ed). 1990; 25 Suppl 2: 9-15; discussion 16-8. [PMID: 2114417] / Greenblatt DJ, Harmatz JS, Friedman H, Locniskar A, Shader RI. A large-sample study of diazepam pharmacokinetics. Ther Drug Monit. 1989; 11: 652-7. [PMID: 2512694] / Ochs HR, Greenblatt DJ, Kaschell HJ, Klehr U, Divoll M, Abernethy DR. Diazepam kinetics in patients with renal insufficiency or hyperthyroidism. Br J Clin Pharmacol. 1981; 12: 829-32. [PMID: 7340884] / Treiman DM. Pharmacokinetics and clinical use of benzodiazepines in the management of status epilepticus. Epilepsia. 1989; 30 Suppl 2: S4-10. [PMID: 2670537] / Vanholder R, Van Landschoot N, De Smet R, Schoots A, Ringoir S. Drug protein binding in chronic renal failure: evaluation of nine drugs. Kidney Int. 1988; 33: 996-1004. [PMID: 3392889]","Active metabolites, desmethyldiazepam and oxazepam, may accumulate in renal failure. Reduce dose if given longer than a few days. Protein binding decreases in uremia."
464,"Sedatives, Hypnotics, and Other Drugs Used in Psychiatry",Benzodiazepines,,May cause excessive sedation and encephalopathy in ESRD.,Estazolam,Hepatic,8-24/No data,93,No data,,,,1.0 mg hs,,D,1.0 mg hs,100% [D],100% [D],100% [D],100% [D],"IHD: None, [D]","PD: None, [D] ","CRRT: Dose for GFR 10-50, [D]","Gaudreault P, Guay J, Thivierge RL, Verdy I. Benzodiazepine poisoning. Clinical and pharmacological considerations and treatment. Drug Saf. 1991; 6: 247-65. [PMID: 1888441] / Greenblatt DJ. Benzodiazepine hypnotics: sorting the pharmacokinetic facts. J Clin Psychiatry. 1991; 52 Suppl: 4-10. [PMID: 1680125] / Greenblatt DJ. Pharmacokinetics and pharmacodynamics. Hosp Pract (Off Ed). 1990; 25 Suppl 2: 9-15; discussion 16-8. [PMID: 2114417] / Gustavson LE, Carrigan PJ. The clinical pharmacokinetics of single doses of estazolam. Am J Med. 1990; 88: 2S-5S. [PMID: 1968715] / Treiman DM. Pharmacokinetics and clinical use of benzodiazepines in the management of status epilepticus. Epilepsia. 1989; 30 Suppl 2: S4-10. [PMID: 2670537]",
465,"Sedatives, Hypnotics, and Other Drugs Used in Psychiatry",Benzodiazepines,,May cause excessive sedation and encephalopathy in ESRD.,Flurazepam,Hepatic,47-100/Unchanged,No data,3.4,,,,15-30 mg hs,,D,15-30 mg hs,100% [D],100% [D],100% [D],100% [D],"IHD: None, [D]","PD: No data, [D]","CRRT: Dose for GFR 10-50, [D]","Gaudreault P, Guay J, Thivierge RL, Verdy I. Benzodiazepine poisoning. Clinical and pharmacological considerations and treatment. Drug Saf. 1991; 6: 247-65. [PMID: 1888441] / Greenblatt DJ. Benzodiazepine hypnotics: sorting the pharmacokinetic facts. J Clin Psychiatry. 1991; 52 Suppl: 4-10. [PMID: 1680125] / Greenblatt DJ. Pharmacokinetics and pharmacodynamics. Hosp Pract (Off Ed). 1990; 25 Suppl 2: 9-15; discussion 16-8. [PMID: 2114417] / Greenblatt DJ, Harmatz JS, Engelhardt N, Shader RI. Pharmacokinetic determinants of dynamic differences among three benzodiazepine hypnotics. Flurazepam, temazepam, and triazolam. Arch Gen Psychiatry. 1989; 46: 326-32. [PMID: 2564763] / Treiman DM. Pharmacokinetics and clinical use of benzodiazepines in the management of status epilepticus. Epilepsia. 1989; 30 Suppl 2: S4-10. [PMID: 2670537]",
466,"Sedatives, Hypnotics, and Other Drugs Used in Psychiatry",Benzodiazepines,,May cause excessive sedation and encephalopathy in ESRD.,Lorazepam,Hepatic,5-10/32-70,87,0.9-1.3,,,,1-2 mg q8-12h,,D,1-2 mg q8-12h,100% [A],100% [A],100% [A],100% [A],"IHD: None, [B] ","PD: None, [D] ","CRRT: Dose for GFR 10-50, titrate, [B]","Gaudreault P, Guay J, Thivierge RL, Verdy I. Benzodiazepine poisoning. Clinical and pharmacological considerations and treatment. Drug Saf. 1991; 6: 247-65. [PMID: 1888441] / Greenblatt DJ. Benzodiazepine hypnotics: sorting the pharmacokinetic facts. J Clin Psychiatry. 1991; 52 Suppl: 4-10. [PMID: 1680125] / Greenblatt DJ. Pharmacokinetics and pharmacodynamics. Hosp Pract (Off Ed). 1990; 25 Suppl 2: 9-15; discussion 16-8. [PMID: 2114417] / Greenblatt DJ, Ehrenberg BL, Gunderman J, Scavone JM, Tai NT, Harmatz JS, et al. Kinetic and dynamic study of intravenous lorazepam: comparison with intravenous diazepam. J Pharmacol Exp Ther. 1989; 250: 134-40. [PMID: 2746493] / Greenblatt DJ, Harmatz JS, Dorsey C, Shader RI. Comparative single-dose kinetics and dynamics of lorazepam, alprazolam, prazepam, and placebo. Clin Pharmacol Ther. 1988; 44: 326-34. [PMID: 3138056] / Swart EL, de Jongh J, Zuideveld KP, Danhof M, Thijs LG, Strack van Schijndel RJ. Population pharmacokinetics of lorazepam and midazolam and their metabolites in intensive care patients on continuous venovenous hemofiltration. Am J Kidney Dis. 2005; 45: 360-71. [PMID: 15685515] / Treiman DM. Pharmacokinetics and clinical use of benzodiazepines in the management of status epilepticus. Epilepsia. 1989; 30 Suppl 2: S4-10. [PMID: 2670537]",
